,GENuS_name,FAO_name,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
36,Homogenized; cooked fruit prepared,Fruit Primary,55.44,0.358,0.1592,13.973199999999999,27.284000000000002,4.8,4.36,6.2,0.2416,0.064,123.76,1.8079999999999998,0.056159999999999995,1.92,11.52,0.014720000000000002,0.0406,0.31915999999999994,0.0558,4.007999999999999,7.44,0.01504,0.023200000000000002,0.022640000000000004,0.04372,0.0,0.0,85.1868,0.3208,0.0
37,Onions (inc. shallots); green,"Onions, shallots, green",24.040000000000003,1.3370833333333334,0.17625000000000002,4.9054166666666665,17.758333333333336,61.791666666666664,4.75,38.0,1.4083333333333332,0.22208333333333333,71.5,0.8416666666666667,0.017541666666666667,4.733333333333333,34.958333333333336,0.034791666666666665,0.05833333333333333,0.20187500000000003,0.019916666666666666,0.9291666666666667,7.0,0.06620833333333333,0.0065,0.0057083333333333335,0.015375,0.0,0.0,78.06833333333333,0.4533333333333333,2.5416666666666665
38,Nuts; nes,"Nuts, nes",554.1317391304348,14.49014492752174,43.644637681304346,31.628768116086956,0.4652173913043478,0.5652173913043478,5.521739130434782,95.56521739130434,2.7443478260869565,1.185,81.82608695652173,2.447826086956522,0.190304347826087,12.622608695652174,329.5652173913044,0.18313043478260868,0.07139130434782609,0.6193913043478261,0.03017391304347826,4.1869565217391305,34.95652173913044,0.8585217391304348,2.6184347826086958,7.096565217391304,4.482260869565218,0.0,0.0,6.777101449260869,0.856304347826087,9.565217391304348
39,Nuts; nes,"Treenuts,Total",554.1317391304348,14.49014492752174,43.644637681304346,31.628768116086956,0.4652173913043478,0.5652173913043478,5.521739130434782,95.56521739130434,2.7443478260869565,1.185,81.82608695652173,2.447826086956522,0.190304347826087,12.622608695652174,329.5652173913044,0.18313043478260868,0.07139130434782609,0.6193913043478261,0.03017391304347826,4.1869565217391305,34.95652173913044,0.8585217391304348,2.6184347826086958,7.096565217391304,4.482260869565218,0.0,0.0,6.777101449260869,0.856304347826087,9.565217391304348
40,Cereals; nes,"Cereals, nes",121.1304347826087,13.024347826086956,4.602608695652173,25.562173913043477,0.18695652173913047,0.036231884086956524,0.0,119.9391304347826,22.17521739130435,0.9917391304347826,18.565217391304348,0.9608695652173914,0.035217391304347825,0.6782608695652174,297.8782608695652,0.2965217391304348,0.21913043478260869,1.141,0.020956521739130436,0.5695652173913043,8.0,0.4017391304347826,0.019521739130434784,0.025608695652173913,0.04656521739130435,0.0,0.0,10.913913043478262,2.7265217391304346,0.0
41,Cereals; nes,"Cereals,Total",121.1304347826087,13.024347826086956,4.602608695652173,25.562173913043477,0.18695652173913047,0.036231884086956524,0.0,119.9391304347826,22.17521739130435,0.9917391304347826,18.565217391304348,0.9608695652173914,0.035217391304347825,0.6782608695652174,297.8782608695652,0.2965217391304348,0.21913043478260869,1.141,0.020956521739130436,0.5695652173913043,8.0,0.4017391304347826,0.019521739130434784,0.025608695652173913,0.04656521739130435,0.0,0.0,10.913913043478262,2.7265217391304346,0.0
42,Papayas,Papayas,17.220000000000002,0.7482727273181818,0.10859090909090913,3.855522727227273,38.91681818181818,42.143939394090914,2.8181818181818183,12.563636363636363,0.34227272740909087,0.025,38.76136363636363,0.35454545454545455,0.004,2.8204545454545453,8.494318181818182,0.01331818181818182,0.01764204545454546,0.16793181818181818,0.0026363636363636363,0.2772727272727273,2.3068181818181817,0.0018181818181818182,0.0055,0.004181818181818182,0.0030909090909090903,0.0,0.0,69.35670454545453,0.3795454545454545,2.909090909090909
43,Grapes,Grapes,36.35181818181818,0.536818181818182,0.23681818181818184,8.630909090909093,4.204545454545455,2.962121212136364,0.2727272727272727,12.909090909090908,0.5322727272727272,0.022727272727272728,41.18181818181818,0.6727272727272727,0.02209090909090909,0.8772727272727273,16.636363636363637,0.031409090909090914,0.10349999999999998,0.15854545454545454,0.00890909090909091,0.509090909090909,4.909090909090909,0.12554545454545454,0.016272727272727272,0.0018636363636363638,0.012727272727272726,0.0,0.0,83.24954545454544,0.4309090909090909,2.5454545454545454
44,Barley,Barley,109.5,8.313181818181818,1.2018181818181821,23.722727272727273,0.36363636363636365,0.09090909090909091,1.9090909090909092,50.68181818181818,6.717727272727274,0.5745454545454546,46.81818181818182,2.259090909090909,0.08718181818181818,4.863636363636363,239.2959090909091,0.22713636363636366,0.09995454545454545,3.6458181818181816,0.026272727272727277,1.718181818181818,10.590909090909092,0.19386363636363635,0.033,0.02018181818181818,0.07581818181818181,0.0,0.0,11.742272727272727,1.249090909090909,0.0
45,Spinach,Spinach,14.59047619047619,2.202857142857143,0.34238095238095234,1.7538095238095237,28.842857142857145,282.3809523809524,23.476190476190474,103.71428571428571,3.3138095238095233,0.2061904761904762,186.33333333333334,0.9619047619047618,0.014761904761904763,53.03333333333334,35.23809523809524,0.0560952380952381,0.15042857142857144,0.3906666666666667,0.018333333333333333,0.9190476190476191,9.333333333333334,0.06652380952380953,0.004428571428571428,0.0009523809523809524,0.008333333333333335,0.0,0.0,78.0952380952381,1.1342857142857143,1.3333333333333333
